prompt,completion
口瘡,飛滋
不停站,飛站
氣墊船,飛翔船
開快車,飛車
剪髮,飛髮
理髮師,飛髮佬
理髮店,飛髮舖
拼命吃,食七咁食
要人家老命,食人隻車
順杆兒爬,食住上
吃不下,食唔落
吃奶,食奶
吃槍藥了,食左火藥
吃午飯,食晏
吃光,食晒
吃啞巴虧,食死貓
吃膩了,食滯
抽煙,食煙
吸白面兒,食白粉
吃裡扒外,食碗面反碗底
吃轉兒,食篩
喝粥,食粥
和了,食糊
動腦子,食腦
吃藥,食藥
舌頭打結,食螺絲
喝西北風,食西北風
練過武術,食過夜粥
吃過還想吃,食過返尋味
吃飯,食飯
飯桌,食飯檯
吃個夠,食餐飽
吃素,食齋
米飯,飯
飯勺,飯殼
鍋巴,飯焦
盒飯,飯盒
喝,飲
乾杯,飲勝
喝奶,飲奶
喝水,飲水
喝湯,飲湯
吸管兒,飲筒
吸管兒,飲管
喝茶,飲茶
漂亮衣服,飲衫
喝酒,飲酒
吃吃喝喝,飲飲食食
吃飽喝足,飲飽食醉
餅店,餅家
悅目,養眼
餓得要命,餓到死
口香糖,香口膠
香味兒,香味
香皂,香梘
腳氣,香港腳
狗肉,香肉
賽馬會,馬會
馬票,馬標
荸薺,馬蹄
荸薺糕,馬蹄糕
賽馬迷,馬迷
猴子,馬騮
接,駁
頂嘴,駁嘴
接骨,駁骨
禿子,駝背佬
劫持,騎劫
陽台,騎樓
牆頭草,騎牆派
踩單車,騎自行車
騾子,騾
害怕,驚
慌張,驚青
骨頭,骨
骰子,骰仔
腿,髀
運動衣,體育衫
高個子,高佬
攀高枝兒,高攀
架子大,高竇
高明,高章
高跟鞋,高踭鞋
髮梢,髮尾
髮邊兒,髮腳
刷牆,髹灰水
溜走,鬆人
酥脆,鬆化
大鬍子,鬍鬚佬
剃鬚刀,鬚刨
做木工,鬥木
木匠,鬥木佬
賽球,鬥波
對眼兒,鬥雞眼
罵,鬧
罵人,鬧人
老外,鬼佬
洋女人,鬼婆
自己人打自己人,鬼打鬼
天曉得,鬼知
滑頭,鬼馬
鬼祟,鬼鼠
黏扣帶,魔術貼
魚子,魚春
魚攤兒,魚檔
水產行,魚欄
魚丸,魚蛋
魚頭,魚雲
魚刺,魚骨
雞爪子,鳳爪
鴨子,鴨
鴨舌帽,鴨咀帽
鴨梨,鴨嘴梨
鴨肫,鴨腎
海水,鹹水
海魚,鹹水魚
艱苦,鹹苦
鹵蝦,鹹蝦
酸菜,鹹酸菜
壁虎,鹽蛇
麥子,麥
麥片,麥皮
麵包屑,麵包糠
芝麻油,麻油
刺兒頭,麻煩友
麻將桌,麻雀檯
老鷹,麻鷹
湊合,麻麻
紅糖,黃糖
蒙古大夫,黃綠醫生
搭錯哪條筋,黐咗邊條線
粘上,黐埋
神經病,黐線
大舌頭,黐脷根
蹭飯,黐餐
倒楣,黑仔
死眉瞪眼,黑口黑面
暗房,黑房
收屍車,黑箱車
黑貓兒,黑貓
墨鏡,黑超
點兒背,黑過墨斗
啞劇,默劇
老點不透,點極都唔明
怎樣,點樣
豈只,點止
怎麼看,點睇
誰知,點知
怎麼辦,點算
為什麼,點解
怎麼著都行,點話點好
蘸醬油,點豉油
鼻子,鼻哥
鼻孔,鼻哥窿
鼻涕,鼻水
整齊,齊整
整數,齊頭數
素菜館,齋舖
素菜,齋菜
光說不做,齋講唔做
素什錦,齋鹵味
桂圓,龍眼
鴇母,龜婆
橘子,桔
餛飩,雲吞
喝水,飲水
空腹,空肚
水果,生果
葡萄,提子
毛瓜,節瓜
麻團,煎堆
口渴,頸渴
充飢,頂肚
饞嘴,為食
李子,布冧
鴨梨,雪梨
絲瓜,勝瓜
黃瓜,青瓜
牛排,牛扒
蜂蜜,蜜糖
甜湯,糖水
烤豬肉,燒肉
雞爪子,鳳爪
胃口好,開胃
西洋梨,啤梨
白麵包,方包
太妃糖,拖肥
冰棍兒,雪條
雞翅膀,雞翼
草莓,士多啤梨
飽極了,飽到上心口
茄子,矮瓜
豬排,豬扒
玉米,粟米
香菜,芫荽
布丁,布甸
煎餃子,煎餃
胃口大,大食
肚子餓,肚餓
白豇豆,眉豆
煎蛋卷,奄列
果子凍,啫哩
冰淇淋,雪糕
雞腿兒,雞髀
有嚼勁兒,爽口彈牙
奶酪三明治,芝士三文治
扭頭,擰轉頭
耷拉着腦袋,頭耷耷
睜眼,擘大眼
閉眼,眯埋眼
眯着眼,矇住對眼
瞪眼睛,睩大對眼
抽鼻子,索鼻
抿嘴,搣嘴
噘嘴,嘟嘴
咧嘴,依起棚牙
嗑瓜子,剝瓜子
吐骨頭,𦧲骨
吐舌頭,伸脷
咂手指,啜手指
喊名字,嗌名
憋氣,閉氣
癟嘴,扁嘴
撇嘴,䌌嘴
啃玉米,刨粟米
親一下,錫一啖
唸稿子,照稿讀
哄孩子,氹細路
打哈欠,打喊露
舔嘴唇,舐舐脷
打噴嚏,打乞嗤
仰起頭,岳高頭
搖頭晃腦,揈頭揈髻
打瞌睡,瞌眼瞓
搖頭,擰頭
點頭,岌頭
咽唾沫,吞口水
噎着了,骾親
繃臉,板起塊面
叼着煙卷,擔住枝煙
瞟一眼,睄一眼
盯着看,岌住
揉眼睛,捽眼
拔牙,剝牙
塗口紅,搽唇膏
刮鬍子,剃鬚
掏耳朵,撩耳仔
掐脖子,撚頸
掐人中,㩒人中
捏泥人兒,搓泥公仔
捏鼻子,撚住個鼻
捏把汗,戥佢緊張
掰腕子,拗手瓜
打傘,擔遮
打毛衣,織冷衫
搭積木,砌積木
蓋毛毯,冚毛氈
夠得着夠不着,掂唔掂到
繫,綁
削,批
紮,紮
搧扇子,撥扇
拔白頭髮,掹白頭髮
拉箱子,拖喼
蹭,揩
蹲,踎
跺腳,揼腳
踹,踢
絆,棘
崴腳,扭親腳
翹二郎腿,翹腳
劈叉,擘一字馬
踮腳,趷高對腳
蹬三輪兒,踩三輪車
蹚,浭
邁,䌖
滑,跣
這幾個人睡覺的睡覺、看風景的看風景，沒一個人給孕婦讓座。,呢幾個人瞓覺嘅瞓覺，睇風景嘅睇風景，冇一個人讓座俾個大肚婆。
是啊，那個年輕人一看見孕婦走過來，馬上扭過頭去看風景。,係呀，嗰個後生仔一睇見個大肚婆行埋嚟，就即刻擰轉頭睇風景。
他的頭倒是扭得夠快的。,佢個頭又真係轉得夠晒快喎。
小明，你今天怎麼一直耷拉着腦袋？,明仔，你今日點解一直頭耷耷呀 ?
我上課的時候把手舉得高高的，老師也不叫我。,我上堂嗰陣係噉舉高隻手，先生都唔叫我。
哦，原來是這樣。,哦，原來係噉
後天的面試太重要了，你千萬別忘了。,後日嘅面試太緊要啦，你千祈唔好唔記得喎。
忘不了，我把它寫在紙條上，貼在床頭。早上一睜眼就能看見。,唔會嘅，我將佢寫低喺紙條上便，貼喺床頭。朝早一擘大對眼就睇到㗎啦。
就怕你到了中午才睜眼，早上的面試時間早過了。,就係怕你到咗晏晝先至擘大眼，朝早嘅面試時間就噉過咗嘑。
聽說九龍城有家泰國咖喱，好多人去光顧啊！,聽講九龍城有間泰國咖喱好多人幫襯喎！
你說的是「福佬榮」吧！我就住在九龍城，那家泰國菜館開了幾十年 了，在這裏閉着眼都知道怎麼走！,你講嘅係「福佬榮」吖嘛！我住九龍城嘅，間泰國菜館開咗幾十年嘑，喺呢度咪埋眼都識得行去囉！
那下次你一定要帶我去那裏試試啊！,噉下次你一定要帶我去嗰度試吓！
衣服、衣裳,衫
外衣、上衣,面衫
內衣、汗衫,底衫
針織衫,T恤
襯衫,恤衫
毛衣,冷衫
運動衣,體育衫
球衣,波衫
棉襖,棉衲
外套,短褸
大衣,大褸
短大衣,中褸
風衣,風褸
風雨衣,乾溼褸
連衣裙,直身裙、連身裙
西服、西裝,西裝
球鞋,波鞋
高跟兒鞋,高踭鞋
領帶,領呔
襪子,襪
手套,手襪
鴨舌帽,cap 帽
圍巾,頸巾
圍嘴兒,口水肩
手絹,手巾
髮卡,髮夾
髮箍,頭箍
項鏈,頸鏈
墜子、項墜,鍊嘴
耳環、耳墜子,耳環
手鐲,手鈪
胸針、胸花,心口針
胸章,襟章
墨鏡,黑超
大號兒,大碼
牛排,牛扒
牛裏脊,牛柳
牛胃、牛百葉兒,牛柏葉
豬排,豬扒
豬蹄,豬腳
五花肉,五花腩
雞塊兒,雞球
雞翅膀,雞翼
雞腿,雞髀
雞爪子,鳳爪
烤鴨,烤鴨、填鴨
鴨胗兒,鴨腎
生魚片,魚生
芡粉,生粉
香油、芝麻油,麻油
醬油,豉油
濃醬油,老抽
淡醬油,生抽
醬豆腐,南乳
紅糖,黃糖
薑泥,薑蓉
蒜泥,蒜蓉
銀耳,雪耳
江米、糯米,糯米
桃酥,合桃酥
餛飩,雲吞
粽子,粽
油條,油炸鬼
麻團,煎堆
松花蛋、皮蛋,皮蛋
鹹鴨蛋,鹹蛋
稀粥,白粥
稀飯,潮州粥
光麪,淨麪
拌麪,撈麪
方便麪,公仔麪
鍋巴,飯焦
魚肉團兒,魚蛋
肉丁,肉粒
煎蛋卷,奄列
甜品、甜湯,糖水
湯圓、元宵,湯丸
糯米糰子,糯米糍
綠豆粥,綠豆沙
杏仁酪,杏仁糊
冰淇淋,雪榚
冰棍兒,雪條
西點,西餅
雞蛋餡兒烘餅,蛋撻
白麪包,方包
發糕,鬆糕
果凍兒,啫喱
布丁,布甸
沙拉,沙律
烤麪包片兒,多士
黃油,牛油
奶酪,芝士
酸奶,乳酪
奶油,忌廉
蜂蜜,蜜糖
三明治,三文治
素菜,齋
素什錦,齋鹵味
油豆腐,豆腐卜
豆腐皮,腐皮
腐竹,枝竹
豆腐腦兒,豆腐花
口香糖,香口膠
泡泡糖,吹波膠
棒棒糖,波板糖
巧克力,朱古力
太妃糖,拖肥糖
蘋果排,蘋果批
爆玉米花兒,爆谷
涮鍋子,打邊爐
開水,滾水
涼白開,凍滾水
嘴饞,為食
夜宵,宵夜
挑吃選喝,揀飲擇食
天台／曬台,天棚
小閣樓,閣仔
地下室,地牢
窗格子,窗花
窗戶,窗門
打間隔,間房
臥室,睡房
旁邊、隔壁,隔離
台階,石級
門鈴,門鐘
自來水,水喉水
臉盆,面盆
家裏,屋企
雜物間,士多房
角落,角落頭
照料、照看,打理
收拾,執拾
洗衣服,洗衫
晾衣服,晾衫
衣服夾子,晾衫夾
抹桌子,抹枱
抹窗戶,抹窗
灌水,沖水
沏茶,沖茶
拖地板,抹地
整理房間,執屋
淘米,洗米
熬粥,煲粥
澆花,淋花
熨衣服,熨衫
疊被窩,摺被
燙着手,辣嚫手
接電話,聽電話
回電話,覆電話
佔線,打唔通
掛,收線
陽台,騎樓
馬桶,坐廁
欄杆,欄河
窗戶,窗門／窗口
陰溝,暗渠
工地,地盤
煙囱,煙通
台階,石級
雜貨鋪,士多
混凝土,石屎
壁櫃,入牆櫃
臥室,睡房
打隔斷,間房
水坑,水氹
死胡同,掘頭巷
大理石,雲石
坐墊,咕臣
柵欄,閘
洗澡間,沖涼房
空調,冷氣
傢具,傢俬
沙發,梳化
抽屜,櫃桶
冰箱,雪櫃
豁亮、亮堂,光猛
寬敞,闊落
精緻,骨子
狹窄,屈質
有條理,企理
褐色,茶色
淡赭色,肉色
黃澄澄,黃黚黚
紅彤彤,紅當蕩
雪白的,白雪雪
黑黑的,烏卒卒
黝黑的,黑瞇蚊
花里胡哨,花哩碌
黑不溜秋,黑古勒特
圓珠筆,原子筆
尺子,間尺
橡皮,擦膠
捲筆刀、鉛筆刀,鉛筆刨
硯台,墨硯
毛筆,墨筆
曲別針、回形針,萬字夾
圖釘兒,撳釘
橡皮圈兒、橡皮筋兒,橡筋
板擦兒,粉擦
默寫,背默
聽寫,讀默
繞口令,急口令
温習、複習,温書
教室,班房
換課,轉堂
留級,留班
上學,返學
上課,上堂
下課,落堂
作弊,出貓
不及格,肥佬
請假,告假
作業本,作業簿
簡答題,短答題
打鈎兒,打剔
打叉兒,打交叉
箭頭,箭嘴
橫着讀,打橫讀
過家家,煮飯仔
跳棋,波子棋
井字過三關,打井
剪刀、石頭、布,包、剪、揼
捉迷藏,伏匿匿
老鷹抓小雞,麻鷹捉雞仔
丟手絹兒,掉手巾
盪秋千,打千秋
滑滑梯,瀡滑梯
蹺蹺板,搖搖板
騎自行車,踩單車
溜冰,踩冰
下棋,捉棋
放風箏,放紙鷂
跳橡皮筋兒,跳橡筋繩
踢毽子,踢毽
玩電子遊戲,打機
拼圖,砌圖
魔方,扭計骰
連環畫,漫畫
看電影,睇戲
電影院,戲院
倒立,倒豎葱
動畫片兒、卡通,卡通片
開玩笑,講笑
相聲,楝篤笑
爺爺、祖父,爺爺
奶奶、祖母,嫲嫲
老爺、外公,公公
姥姥、外婆,婆婆
伯伯、伯父,伯父
大娘、伯母,伯娘
舅舅,舅父
舅媽,舅母
姑姑、姑母,姑姐
姑父、姑丈,姑丈
姪子,姪仔
公公,老爺
婆婆,奶奶
媳婦、兒媳婦兒,新抱
岳夫、丈人,外父
岳母、丈母娘,外母
小兒子,孻仔
乾爹,契爺
乾媽,契媽
乾兒子,契仔
寶寶,BB仔
小孩兒,細路仔
雙胞胎,孖生
老大爺、老頭兒,伯爺公
老大娘、老太婆,伯爺婆
小伙子,後生仔
小胖子,肥仔
大個子,大隻佬
大嫂,師奶
乞丐、叫化子,乞衣
土包子,大鄉里
傻丫頭,傻妹
冒失鬼,失魂魚
昨天,尋日
明天,聽日
後天,後日
整天,成日
改天、改日,第日
順延一天,褪一日
前後五天,頭尾五日
昨晚,尋晚
明晚,聽晚
傍晚,挨晚
去年,舊年、上年
明年,出年
年初,年頭
年底,年尾
月初,月頭
月底,月尾
上午,上晝
中午,晏晝
下午,下晝
半天,半晝
早上、早晨,朝早
天亮,天光
白天,日頭
剛剛,啱啱
剛、剛才,正話
先頭兒,頭先
有時,間中
常常,周不時
到時候,到期時
回頭,轉頭
沒多久,冇幾耐
現在,宜家
以前、舊時,舊陣時
甚麼時候,幾時
很久,好耐
最近,近期
提早,預早
一眨眼,眨吓眼
一轉眼,轉吓眼
一天到晚,一日到黑
從早到晚,由朝到黑
一年到頭,一年到晚
個人電腦,PC機
便攜式電腦,手提電腦
筆記本電腦,筆記簿電腦
內存,記憶體
鼠標,滑鼠
電子記事簿,電子手賬
複製,拷貝
磁盤、軟盤,磁碟
信息,資訊
服務器,伺服器
光盤,光碟
電子信箱,電郵信箱
顯示屏,mon（monitor的俗稱）
計算機,計數機
耳機,耳筒
機身,機殼
激光,鐳射
雙聲功能,麗音
光盤機,CD機
視盤機,VCD機
數字式視盤機,DVD機
電傳,傳真
擴音筒,大聲公
話筒、麥克風,咪
錄音帶,聲帶
錄像,錄影
照像,影相
膠卷兒,菲林
洗照片兒,曬相
硬盤,硬碟
三角架,腳架
下雨,落雨
下雪,落雪
暴雨,豪雨
小雨,微雨
陣雨、驟雨,過雲雨
下毛毛雨,落微微雨
潲雨,撇雨
打雷,行雷
打閃,閃電
颳颱風,打風
颱風訊號,風球
轉暖,回南
悶熱,翳熱、翳焗
天氣炎熱,天時暑熱
煙霧,煙霞
天亮,天光
晴天,好天
天色陰沈沈的,天陰陰
颳風,翻風
眼睛、眼,眼
眉毛,眼眉
鬥眼兒、對眼兒,鬥雞眼
耳朵,耳仔
嘴、口,口
嘴唇,口唇
嗓子,喉嚨
結巴、口吃,嘍口
胸口、心口,心口
鼻子,鼻、鼻哥
鼻孔,鼻哥窿
臉、面,臉
臉蛋兒,面珠墩
辮子,辮
脖子,頸
腿肚子,腳瓜
大腿,大髀
腳掌,腳板
嗓子,喉嚨
酒窩,酒凹
太陽穴,魂精
胳膊肘兒,手踭
小舌頭,吊鐘
夾肢窩,格肋底
肩膀,膊頭
腳跟,腳踭
劉海兒,前額的陰
鬈髮,攣毛
膝蓋,膝頭
後腦勺兒,後尾枕
羅鍋兒,駝背
對眼兒,鬥雞眼
麻子,豆皮
齜牙,哨牙
牙牀、牙齦,牙肉
胳膊、上臂,手瓜
指甲,手甲
手掌,手板
大舌頭,痴脷根
蛀齒、蟲牙,爛牙
打嗝兒,打思噎
打噴嚏,打乞嗤
打哈欠,打喊露
打呼嚕,扯鼻鼾
忌口,戒口
噁心,作悶
想吐,作嘔
着涼,冷親
鬧肚子,搞肚
上拉下瀉,又痾又嘔
拉肚子,肚痾
落枕,瞓癘頸
便血,痾血
上火,熱氣
閃了腰,扭親腰
胖乎乎,肥嘟嘟
臉色灰白,面青青
長口瘡,生痱滋
掉牙,甩牙
咳嗽,咳
鼻子不通氣兒,鼻塞
皴裂,爆拆
合口,埋口
中藥店,藥材鋪
長蟲子,生蟲
打蟲子,杜蟲
看病,睇病
治病,醫病
假條兒、醫生證明,醫生紙
急診室,急症室
嗓子疼,喉嚨痛
量體温、試錶,探熱
青,瘀
弄破、碰破,整損手
手崴了,屈親手
螃蟹、蟹,蟹
牡蠣、蠔,蠔
扇貝,帶子
草魚、鯇魚,鯇魚
平魚、鯧魚,倉魚
鯰魚,塘蝨魚
偏口魚、比目魚,鰨沙魚
帶魚,牙帶魚
河豚,雞泡魚
章魚,八爪魚
烏賊,墨魚
鱉、甲魚、王八,水魚
羊羔,羊咩仔
大象,大笨象
猴子,馬騮
豹子、豹,豹
小雞,雞仔
小鳥、鳥兒,雀仔
大雁,雁
鴿子,白鴿
老鷹,麻鷹
八哥,了哥
蝙蝠,蝠鼠、飛鼠
豪豬,箭豬
蠍虎、壁虎,簷蛇
蚱蜢,草蜢
蠶,蠶蟲
蒼蠅、蠅子,烏蠅
蚊子,蚊
臭蟲,木蝨
蜈蚣,百足
蟑螂,曱甴
豆芽兒,芽菜
油菜,菜心
芥藍菜,芥蘭
大白菜,黃芽白、紹菜
小白菜,白菜仔
洋白菜、卷心菜,椰菜
菜花、花椰菜,椰菜花
空心菜、蕹菜,通菜
青梗菜,小唐菜
豇豆,青豆角
豌豆,荷蘭豆
菜豆,四季豆
西紅杮、番茄,番茄
黃瓜,青瓜
絲瓜,勝瓜
毛瓜,節瓜
茄子,矮瓜
苦瓜,涼瓜
柿子椒,青椒
胡蘿蔔,甘筍、紅蘿蔔
西芹菜,西芹
藕,蓮藕
荸薺,馬蹄
土豆兒、馬鈴薯、甘薯,薯仔
地瓜、番薯,番薯
玉米,粟米
竹荀,荀
香菜、芫荽,芫茜
大蒜,蒜頭
核桃,合桃
水果,生果
橙子,橙
橘子,桔
草莓,士多啤梨
梨,雪梨
澳洲梨,啤梨
鴨兒梨,鴨嘴梨
菠蘿、鳳梨,菠蘿
菠蘿蜜,大樹菠蘿
獼猴桃,奇異果
鱷梨,牛油果
柚子,碌柚、沙田柚
李子,布冧
葡萄,提子
櫻桃,車厘子
桂圓、龍眼,龍眼
甘蔗,蔗
生氣,發嬲
討厭、恨,憎
討人嫌,乞人憎
疼愛,愛錫
氣,激
氣人,激氣
惹火兒了,激嬲
費勁兒、白搭,嘥氣
窩火兒、憋氣,谷氣
動氣、生氣,勞氣
害羞、害臊,怕醜
難看,醜怪
羞死人,醜死鬼
洋相,異相
緊張,肉緊
難看、難聽,肉酸
黑着臉,黑口黑面
愁眉苦臉,苦口苦面
臉色蒼白,面青青
有氣無力,有神無氣
憔悴多了,落晒形
目瞪口呆,呆咗
傻里傻氣,傻更更
別慌,唔使驚
生怕,驚死
哭,喊
呆若木雞,定晒型
發愣、發呆,發漚豆
真帥,有型有款
滑稽,鬼馬
撒嬌,詐嗲
給臉色看,詐型
抹粉,搽粉
上藥膏,搽藥膏
拼圖,砌圖
玩積木,砌積木
打傘,擔遮
扛大旗,擔大旗
捶背,抌骨
打印,抌印
砍柴,斬柴
千挑萬選,千揀萬揀
種地,耕田
摁鈴,㩒鐘
湊份子,夾錢
串通,夾計
割草,斬草
把手弄破了,整損手
收拾房間,執房
把玻璃擦乾淨,捽乾淨塊玻璃
挖個洞兒,掘個窿
蹲,踎
燙着了,淥嚫
搧扇子,撥扇
上色、上顏色,油顏色
摘眼鏡兒,除眼鏡
削鉛筆,刨鉛筆
計算、算帳,計數
算了,算數
算我的,入我數
結帳,找數
繫領帶,打呔
小意思,溼溼碎
笨手笨腳,雞手鴨腳
冒失,失魂
揹黑鍋,食死貓
碰運氣,撞彩
找竅門兒,度橋
吹牛,車大砲
裝糊塗,扮懞
拍馬屁,擦鞋
拔河,扯大纜
給面子,畀面
走了眼,跌眼鏡
翻跟頭,打觔斗
倒閉,執笠
慢着,咪住
大膽,沙膽
閒聊,打牙骹
佔便宜,打斧頭
撂挑子,卸髆
錯過了好處,走寶
半瓶醋,半桶水
拆台,柴台
現編,爆肚
小氣,孤寒
耍花招兒,出術
沒骨氣,冇腰骨
掰腕子,抝手瓜
狗咬狗,鬼打鬼
做作,作狀
一個心眼兒,疊埋心水
無緣無故,無端端
不要緊,唔緊要
沒關係,冇所謂
當心,因住
一塌糊塗,烏里單刀
吃虧,蝕底
不怕吃虧,抵得諗
半斤八兩，彼此彼此,一擔擔
權力大,手瓜硬
不領情，好心反被當惡意,好心着雷劈
結業,執笠
亂成一團糟,七國咁亂
吃閉門羹,摸門釘
坐吃山空,坐食山崩
揀到便宜,執死雞
好端端的人,好人好姐
稀奇古怪,古靈精怪
好管閒事、愛打聽,八卦
怎麼搞的,有冇搞錯
成了、完事兒了,搞掂
嘮嘮叨叨沒個完,口水多過茶
虎頭蛇尾,有頭威冇尾陣
滿身是汗,身水身汗
有條不紊,有紋有路
屢問屢不答,十問九唔應
深入想想,諗深一層
臉盆兒,面盆
鋸末,木糠
泡沫塑膠,發泡膠
換氣扇、排風扇,抽氣扇（機）
拖把、墩布,地拖
剪刀,鉸剪
簸箕,垃圾鏟
撢（撣）子,雞毛掃
鐵鍋,鑊
飯勺兒,飯殼
勺子,匙羹
電池,電芯
插座,插蘇
日光燈,光管
燈泡兒,燈膽
扳手,士巴拿
改錐、螺絲刀,螺絲批
電扇,風扇
汽油,電油
柴油,油渣
煤油,火水
蓮蓬頭,花灑
保險絲,灰士
車軲轆、車輪子,車轆
衛生球兒,臭丸
塑料袋,膠袋
鐵絲,鐵線
烤箱,焗爐
吹風機,風筒
電門,電掣
彈簧,彈弓
清潔劑,洗潔精
變壓器,火牛
香皂、肥皂,番梘
撲克,啤牌
上下鋪、雙層床,轆架床
砂鍋,瓦煲
高壓鍋、壓力鍋,高速煲
熱水瓶,熱水壺
烤箱,焗爐
電冰箱,雪櫃
勺子、湯匙,匙羮
花瓶,花樽
充電器,叉電器
插座,插蘇
變壓器,火牛
電池,雪芯
電燈泡,電燈膽
熒光燈、日光燈,光管
熱水袋,暖水袋
雨傘,雨遮
摺疊傘,縮骨遮
雨衣,雨褸
雨鞋、雨靴,水鞋
鑰匙,鎖匙
撲滿、錢罐兒,錢罌
塑料,塑膠
塑料袋,膠袋
泡沬塑料,發泡膠
鐵絲,鐵線
彈簧,彈弓
子母扣兒、摁扣兒,迫鈕
轎車,房車
出租車,的士
公共汽車,巴士
自行車,單車
摩托車,電單車
救護車,救傷車
方向盤,呔盤
車廂,車卡
超車,扒頭
拋錨,死火
倒車,轉車／換車
停車,泊車
堵車,塞車
駕駛盤,軚
制動器,逼力
下車,落車
乘車、坐車,搭車
末班車,尾班車
來回票,雙程票
單程線,單程路
人行橫道,斑馬線
人行道,行人路
車道,馬路
打的,搭的士
立交橋,行車天橋
路口,街口
路燈,街燈
拐彎兒,轉彎
靠站,埋站
車皮,貨卡
搭腳兒,搭順風車
車丟了,失車
鐵欄杆兒,鐵馬
兜個圈兒,打個冷
繞道,運路行
暈船,暈船浪
暈車,暈車浪
車資,車錢
三岔路,分叉路
餐車,（火車上的）餐卡
某路車,某號巴士
小船兒,艇仔
公共汽車,巴士
自行車,單車
摩托車,電單車
車胎,車呔
小型貨車,貨van
手推車,木頭車
運泥車,泥頭車
救護車,救傷車
私人汽車,私家車
摩托車,電單車
氣墊船,飛翔船
堵車,塞車
擠車,迫車
車廂,車卡
拋錨,死火
車輪,車轆
剎車,剎掣
人行道,行人路
輪胎破裂,爆呔
路口,街口
乘幾路車,搭幾號車
乘坐,乘搭
首班車,頭班車
末班車,尾班車
終點站,尾站
始發站,總站
轉乘,接駁
車資,車費
交通阻塞,交通擠塞
摩托車,電單車
方向盤,呔盤
拋錨,死火
跳站,飛站
靠站,埋站
